address	type	namespace	name
EXTERNAL:00000001	Function	USER32.DLL	SetWindowsHookExW
EXTERNAL:00000002	Function	USER32.DLL	CallNextHookEx
EXTERNAL:00000003	Function	USER32.DLL	UnhookWindowsHookEx
EXTERNAL:00000004	Function	USER32.DLL	GetSystemMetrics
EXTERNAL:00000005	Function	USER32.DLL	GetKeyboardState
EXTERNAL:00000006	Function	USER32.DLL	GetCursorPos
EXTERNAL:00000007	Function	USER32.DLL	MapVirtualKeyExW
EXTERNAL:00000008	Function	USER32.DLL	ToUnicodeEx
EXTERNAL:00000009	Function	USER32.DLL	GetClientRect
EXTERNAL:0000000a	Function	USER32.DLL	GetAsyncKeyState
EXTERNAL:0000000b	Function	USER32.DLL	GetKeyState
EXTERNAL:0000000c	Function	USER32.DLL	wsprintfW
EXTERNAL:0000000d	Function	USER32.DLL	ScreenToClient
EXTERNAL:0000000e	Function	USER32.DLL	AttachThreadInput
EXTERNAL:0000000f	Function	USER32.DLL	GetForegroundWindow
EXTERNAL:00000010	Function	USER32.DLL	GetWindowThreadProcessId
EXTERNAL:00000011	Function	USER32.DLL	EnumChildWindows
EXTERNAL:00000012	Function	USER32.DLL	IsWindowVisible
EXTERNAL:00000013	Function	USER32.DLL	GetClassNameW
EXTERNAL:00000014	Function	USER32.DLL	EnumWindows
EXTERNAL:00000015	Function	USER32.DLL	IsWindow
EXTERNAL:00000016	Function	USER32.DLL	GetKeyNameTextW
EXTERNAL:00000017	Function	USER32.DLL	MapVirtualKeyW
EXTERNAL:00000018	Function	USER32.DLL	GetKeyboardLayout
EXTERNAL:00000019	Function	USER32.DLL	MessageBoxW
EXTERNAL:0000001a	Function	SHELL32.DLL	SHGetKnownFolderPath
EXTERNAL:0000001b	Function	OLE32.DLL	CoCreateInstance
EXTERNAL:0000001c	Function	OLE32.DLL	CoTaskMemFree
EXTERNAL:0000001d	Function	OLE32.DLL	CoInitializeEx
EXTERNAL:0000001e	Function	WINMM.DLL	PlaySoundW
EXTERNAL:0000001f	Function	DWRITE.DLL	DWriteCreateFactory
EXTERNAL:00000020	Function	D3D11.DLL	D3D11CreateDevice
EXTERNAL:00000021	Function	DXGI.DLL	CreateDXGIFactory1
EXTERNAL:00000022	Function	D3DCOMPILER_47.DLL	D3DCompile
EXTERNAL:00000023	Label	KERNEL32.DLL	HeapSize
